Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\STM32_Project\Project Outputs for STM32_Project\Pick Place for STM32_PCB.csv

========================================================================================================================
File Design Information:

Date:       19-06-24
Time:       14:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Y1","7M-24.000MEEQ-T","TopLayer","FP-7M-MFG","91.0000","69.1500","0","Crystal 24MHz, 10ppm, 10pF, 50O"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","91.0500","92.9500","0","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","103.8364","77.8001","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","ams1117","TopLayer","FP-ams1117-IPC_C","111.1000","59.2000","270","1A LOW DROPOUT VOLTAGE REGULATOR"
"R7","CRG0805ZR","TopLayer","RESC2013X65X40LL15T20","92.4250","74.5000","0","Chip Resistor, 0 Ohm, 0.125 W, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R6","ERJ-2RKF2201X","TopLayer","RESC1005X40X25LL05T05","104.8713","88.3106","0","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"R5","ERJ-2RKF2201X","TopLayer","RESC1005X40X25LL05T05","102.7136","88.2961","180","Precision Thick Film Chip Resistor, 2.2 kOhm, 100 mW, 1%, -55 to 155 degC, 2-Pin SMD (0402), RoHS, Tape and Reel"
"R4","ERJ-6ENF1001V","TopLayer","RESC2013X70X40ML20T20","110.5250","73.0000","180","Chip Resistor, 1 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R3","10k","TopLayer","FP-MCT0603-IPC_C","101.8000","85.8294","270","RES SMD 100 OHM 1% 1/8W 0603"
"R2","10k","TopLayer","FP-MCT0603-IPC_C","118.8664","97.2820","0","RES SMD 100 OHM 1% 1/8W 0603"
"R1","ERJ-6ENF1001V","TopLayer","RESC2013X70X40ML20T20","123.9097","65.0000","0","Chip Resistor, 1 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"J3","BM04B-GHS-TBT(LF)(SN)","TopLayer","FP-BM04B-GHS-TBT_LF_SN-MFG","95.4062","54.3675","180","CONN HEADER SMD 4POS 1.25MM"
"J2","TC2030-IDC-NL","TopLayer","TAG_TC2030-IDC-NL","116.3000","91.3350","180","CABLE ADAPTER 6 POS"
"J1","473460001","TopLayer","FP-473460001-MFG","128.5300","79.0500","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","FBMH1608HL300-T","TopLayer","BEADC1608X90N","120.6438","71.0843","180","FERRITE BEAD, 0.028OHM, 2.5A, 0603, FULL REEL"
